Player,Curr4,Curr5,Curr_Score,Pre4,Pre5,Prev_Score,Inc_Score
Madi Slave,77,0,77.0,0,0,0,77.0,0,0,0,0,0,77.0
Materia G,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0
BRUTALES,205,338,1219.0,204,326,1182.0,37.0,204,326,1182.0,-1145.0
NotTodayMate,988,107,1309.0,933,102,1239.0,70.0,933,102,1239.0,-1169.0
Avalonati,1082,83,1331.0,1058,76,1286.0,45.0,1058,76,1286.0,-1241.0
Hohonok,18,472,1434.0,18,440,1338.0,96.0,18,440,1338.0,-1242.0
Mr Wrinkles,906,143,1335.0,860,143,1289.0,46.0,860,143,1289.0,-1243.0
NEBuULA,971,125,1346.0,927,124,1299.0,47.0,927,124,1299.0,-1252.0
HODOR,1370,13,1409.0,1309,13,1348.0,61.0,1309,13,1348.0,-1287.0
GrimReaPer,1324,11,1357.0,1291,11,1324.0,33.0,1291,11,1324.0,-1291.0
SpanishFly,1389,7,1410.0,1331,7,1352.0,58.0,1331,7,1352.0,-1294.0
ROMEOKTON,1526,1,1529.0,1463,1,1466.0,63.0,1463,1,1466.0,-1403.0
Kaison Baby,667,280,1507.0,667,266,1465.0,42.0,667,266,1465.0,-1423.0
Cassana,1524,0,1524.0,1476,0,1476.0,48.0,1476,0,1476.0,-1428.0
Cromwell 1,1393,52,1549.0,1340,52,1496.0,53.0,1340,52,1496.0,-1443.0
volo,1418,38,1532.0,1375,38,1489.0,43.0,1375,38,1489.0,-1446.0
ANAXIMANDROS,859,238,1573.0,832,227,1513.0,60.0,832,227,1513.0,-1453.0
draconis,1396,66,1594.0,1349,66,1547.0,47.0,1349,66,1547.0,-1500.0
macgg,271,450,1621.0,271,435,1576.0,45.0,271,435,1576.0,-1531.0
CerberusS,1684,10,1714.0,1627,10,1657.0,57.0,1627,10,1657.0,-1600.0
DarkLord Dan,1746,27,1827.0,1682,25,1757.0,70.0,1682,25,1757.0,-1687.0
CastleFarmer,1733,5,1748.0,1710,5,1725.0,23.0,1710,5,1725.0,-1702.0
HasturX,908,316,1856.0,867,307,1788.0,68.0,867,307,1788.0,-1720.0
The Rohirrim,946,300,1846.0,939,294,1821.0,25.0,939,294,1821.0,-1796.0
ODYSSEAS,1695,88,1959.0,1635,88,1899.0,60.0,1635,88,1899.0,-1839.0
Thantios,590,462,1976.0,590,444,1922.0,54.0,590,444,1922.0,-1868.0
Fenryrr,2047,0,2047.0,1961,0,1961.0,86.0,1961,0,1961.0,-1875.0
Blackpromise,1965,0,1965.0,1935,0,1935.0,30.0,1935,0,1935.0,-1905.0
Loekas20,1560,153,2019.0,1528,149,1975.0,44.0,1528,149,1975.0,-1931.0
Cloud Strife,2172,0,2172.0,2103,0,2103.0,69.0,2103,0,2103.0,-2034.0
eThea,1915,77,2146.0,1874,76,2102.0,44.0,1874,76,2102.0,-2058.0
Cormund,1801,127,2182.0,1759,127,2140.0,42.0,1759,127,2140.0,-2098.0
BIGBAD PANDA,481,573,2200.0,481,559,2158.0,42.0,481,559,2158.0,-2116.0
arcane,2385,5,2400.0,2318,5,2333.0,67.0,2318,5,2333.0,-2266.0
Angelov ST,2125,72,2341.0,2092,72,2308.0,33.0,2092,72,2308.0,-2275.0
ArT,468,646,2406.0,468,629,2355.0,51.0,468,629,2355.0,-2304.0
Dark Asha,665,623,2534.0,664,599,2461.0,73.0,664,599,2461.0,-2388.0
Labalaskus,1872,228,2556.0,1818,228,2502.0,54.0,1818,228,2502.0,-2448.0
THorus,2049,162,2535.0,2007,162,2493.0,42.0,2007,162,2493.0,-2451.0
NEBULA,2182,143,2611.0,2139,143,2568.0,43.0,2139,143,2568.0,-2525.0
The Spikerer,652,691,2725.0,652,675,2677.0,48.0,652,675,2677.0,-2629.0
HussyofWhips,991,675,3016.0,990,635,2895.0,121.0,990,635,2895.0,-2774.0
Mikey AlThor,483,974,3405.0,483,936,3291.0,114.0,483,936,3291.0,-3177.0
brokenjade,757,916,3505.0,750,886,3408.0,97.0,750,886,3408.0,-3311.0
Harold,1467,816,3915.0,1438,808,3862.0,53.0,1438,808,3862.0,-3809.0
Blackrainbow,790,447,2131.0,784,434,2086.0,45.0,784,434,2086.0,-2041.0,784,434,2086.0,-4127.0
cerveau lent,2551,10,2581.0,2462,10,2492.0,89.0,2462,10,2492.0,-2403.0,2462,10,2492.0,-4895.0
madian i,2918,1049,6065.0,2888,1042,6014.0,51.0,2888,1042,6014.0,-5963.0
Bigbadguy,2935,1140,6355.0,2935,1126,6313.0,42.0,2935,1126,6313.0,-6271.0
Total,,,131274.00,,,126456.00,4818.00
